Date,ProductID,UnitPrice,CompetitorPrice,PromoFlag,Quantity
2024-01-01,1,383.6,386.93,0,11
2024-01-02,1,383.6,386.74,0,11
2024-01-03,1,383.6,315.68,0,11
2024-01-04,1,383.6,318.92,0,15
2024-01-05,1,383.6,320.86,0,10
2024-01-06,1,383.6,365.72,0,12
2024-01-07,1,383.6,293.62,0,17
2024-01-08,1,383.6,393.3,0,10
2024-01-09,1,310.72,391.44,1,19
2024-01-10,1,310.72,386.22,1,18
2024-01-11,1,310.72,401.11,1,19
2024-01-12,1,310.72,394.81,1,20
2024-01-13,1,383.6,404.27,0,17
2024-01-14,1,383.6,397.18,0,16
2024-01-15,1,383.6,389.64,0,14
2024-01-16,1,383.6,399.94,0,11
2024-01-17,1,383.6,404.39,0,12
2024-01-18,1,383.6,388.7,0,16
2024-01-19,1,383.6,401.48,0,11
2024-01-20,1,383.6,404.7,0,18
2024-01-21,1,383.6,405.12,0,13
2024-01-22,1,383.6,397.13,0,13
2024-01-23,1,383.6,380.92,0,13
2024-01-24,1,383.6,398.32,0,12
2024-01-25,1,383.6,396.11,0,14
2024-01-26,1,383.6,403.23,0,14
2024-01-27,1,383.6,395.2,0,15
2024-01-28,1,383.6,405.42,0,19
2024-01-29,1,383.6,395.56,0,14
2024-01-30,1,383.6,397.7,0,13
2024-01-31,1,383.6,395.34,0,11
2024-02-01,1,383.6,387.8,0,14
2024-02-02,1,291.54,391.53,1,21
2024-02-03,1,291.54,402.73,1,23
2024-02-04,1,291.54,397.43,1,29
2024-02-05,1,291.54,394.35,1,19
2024-02-06,1,291.54,387.8,1,21
2024-02-07,1,291.54,394.89,1,17
2024-02-08,1,383.6,397.55,0,14
2024-02-09,1,383.6,405.98,0,12
2024-02-10,1,383.6,403.92,0,18
2024-02-11,1,383.6,391.51,0,21
2024-02-12,1,383.6,385.87,0,11
2024-02-13,1,383.6,404.71,0,13
2024-02-14,1,383.6,389.62,0,13
2024-02-15,1,383.6,392.16,0,13
2024-02-16,1,383.6,380.41,0,13
2024-02-17,1,383.6,390.99,0,14
2024-02-18,1,383.6,391.59,0,15
2024-02-19,1,383.6,387.04,0,12
2024-02-20,1,303.04,394.09,1,24
2024-02-21,1,303.04,398.09,1,24
2024-02-22,1,303.04,404.8,1,25
2024-02-23,1,303.04,394.15,1,22
2024-02-24,1,303.04,383.56,1,21
2024-02-25,1,303.04,387.49,1,24
2024-02-26,1,383.6,399.8,0,11
2024-02-27,1,383.6,402.83,0,13
2024-02-28,1,383.6,396.44,0,14
2024-02-29,1,299.21,385.62,1,19
2024-03-01,1,299.21,374.02,1,21
2024-03-02,1,299.21,390.97,1,26
2024-03-03,1,299.21,391.39,1,28
2024-03-04,1,299.21,381.05,1,21
2024-03-05,1,299.21,379.35,1,22
2024-03-06,1,299.21,404.97,1,24
2024-03-07,1,383.6,395.95,0,14
2024-03-08,1,383.6,381.66,0,15
2024-03-09,1,383.6,400.57,0,15
2024-03-10,1,383.6,389.93,0,17
2024-03-11,1,383.6,395.18,0,16
2024-03-12,1,383.6,391.83,0,14
2024-03-13,1,383.6,400.8,0,12
2024-03-14,1,383.6,396.63,0,14
2024-03-15,1,383.6,403.2,0,14
2024-03-16,1,383.6,304.73,0,15
2024-03-17,1,383.6,315.74,0,18
2024-03-18,1,383.6,348.92,0,11
2024-03-19,1,383.6,356.3,0,12
2024-03-20,1,383.6,293.36,0,15
2024-03-21,1,383.6,344.18,0,15
2024-03-22,1,383.6,403.06,0,14
2024-03-23,1,383.6,396.62,0,15
2024-03-24,1,383.6,406.4,0,16
2024-03-25,1,383.6,389.64,0,15
2024-03-26,1,383.6,387.19,0,15
2024-03-27,1,383.6,387.47,0,14
2024-03-28,1,383.6,387.02,0,15
2024-03-29,1,383.6,371.7,0,12
2024-03-30,1,383.6,376.91,0,20
2024-03-31,1,383.6,392.96,0,17
2024-04-01,1,383.6,401.93,0,13
2024-04-02,1,383.6,392.83,0,14
2024-04-03,1,383.6,406.46,0,15
2024-04-04,1,383.6,390.73,0,11
2024-04-05,1,383.6,384.45,0,14
2024-04-06,1,383.6,398.63,0,17
2024-04-07,1,383.6,381.59,0,15
2024-04-08,1,383.6,385.31,0,12
2024-04-09,1,383.6,392.03,0,14
2024-04-10,1,383.6,396.84,0,17
2024-04-11,1,383.6,402.26,0,14
2024-04-12,1,383.6,398.16,0,14
2024-04-13,1,383.6,402.12,0,18
2024-04-14,1,264.68,394.18,1,40
2024-04-15,1,264.68,397.42,1,26
2024-04-16,1,264.68,393.14,1,36
2024-04-17,1,264.68,385.67,1,30
2024-04-18,1,264.68,398.76,1,27
2024-04-19,1,264.68,413.09,1,29
2024-04-20,1,264.68,401.21,1,36
2024-04-21,1,264.68,392.36,1,32
2024-04-22,1,383.6,396.61,0,14
2024-04-23,1,383.6,404.6,0,12
2024-04-24,1,383.6,404.32,0,13
2024-04-25,1,383.6,402.58,0,14
2024-04-26,1,383.6,399.51,0,10
2024-04-27,1,287.7,379.35,1,33
2024-04-28,1,287.7,395.8,1,30
2024-04-29,1,287.7,387.56,1,21
2024-04-30,1,287.7,389.18,1,26
2024-05-01,1,287.7,384.06,1,30
2024-05-02,1,287.7,384.61,1,22
2024-05-03,1,383.6,385.21,0,13
2024-05-04,1,383.6,398.74,0,18
2024-05-05,1,383.6,394.24,0,18
2024-05-06,1,383.6,401.38,0,15
2024-05-07,1,383.6,398.04,0,14
2024-05-08,1,383.6,372.3,0,14
2024-05-09,1,383.6,389.83,0,13
2024-05-10,1,383.6,393.39,0,15
2024-05-11,1,383.6,388.37,0,18
2024-05-12,1,383.6,392.91,0,18
2024-05-13,1,383.6,401.63,0,17
2024-05-14,1,383.6,391.32,0,14
2024-05-15,1,383.6,406.78,0,17
2024-05-16,1,383.6,390.36,0,14
2024-05-17,1,383.6,375.83,0,15
2024-05-18,1,383.6,393.34,0,16
2024-05-19,1,383.6,400.66,0,19
2024-05-20,1,383.6,398.98,0,13
2024-05-21,1,383.6,385.84,0,18
2024-05-22,1,383.6,395.99,0,16
2024-05-23,1,383.6,395.93,0,19
2024-05-24,1,383.6,391.67,0,15
2024-05-25,1,383.6,395.9,0,16
2024-05-26,1,383.6,407.58,0,21
2024-05-27,1,383.6,404.94,0,15
2024-05-28,1,383.6,400.76,0,15
2024-05-29,1,383.6,401.22,0,16
2024-05-30,1,383.6,410.62,0,16
2024-05-31,1,383.6,399.5,0,16
2024-06-01,1,383.6,397.71,0,16
2024-06-02,1,383.6,396.27,0,15
2024-06-03,1,383.6,387.36,0,15
2024-06-04,1,383.6,384.46,0,15
2024-06-05,1,383.6,410.33,0,15
2024-06-06,1,383.6,388.09,0,16
2024-06-07,1,383.6,394.92,0,15
2024-06-08,1,383.6,391.43,0,16
2024-06-09,1,383.6,388.34,0,16
2024-06-10,1,383.6,386.95,0,14
2024-06-11,1,383.6,392,0,21
2024-06-12,1,383.6,396.8,0,15
2024-06-13,1,287.7,389.19,1,23
2024-06-14,1,287.7,387.23,1,28
2024-06-15,1,287.7,391.19,1,32
2024-06-16,1,287.7,399.66,1,27
2024-06-17,1,287.7,389.57,1,27
2024-06-18,1,287.7,398.72,1,23
2024-06-19,1,287.7,397.61,1,24
2024-06-20,1,383.6,381.7,0,17
2024-06-21,1,383.6,390.46,0,16
2024-06-22,1,383.6,399.65,0,18
2024-06-23,1,383.6,393.32,0,15
2024-06-24,1,383.6,403.39,0,13
2024-06-25,1,383.6,393.2,0,13
2024-06-26,1,383.6,400.05,0,17
2024-06-27,1,383.6,404.4,0,13
2024-06-28,1,383.6,394.44,0,17
2024-06-29,1,383.6,385.69,0,17
2024-06-30,1,383.6,396.58,0,17
2024-07-01,1,272.36,397.85,1,25
2024-07-02,1,272.36,393.75,1,29
2024-07-03,1,272.36,385.72,1,31
2024-07-04,1,272.36,390.23,1,26
2024-07-05,1,272.36,315.69,1,30
2024-07-06,1,272.36,304.81,1,31
2024-07-07,1,272.36,326.84,1,35
2024-07-08,1,383.6,344.65,0,14
2024-07-09,1,383.6,307.44,0,14
2024-07-10,1,383.6,393.16,0,16
2024-07-11,1,383.6,389.18,0,17
2024-07-12,1,383.6,388.12,0,15
2024-07-13,1,383.6,397.09,0,20
2024-07-14,1,383.6,382.92,0,17
2024-07-15,1,383.6,392.17,0,14
2024-07-16,1,383.6,390.3,0,13
2024-07-17,1,383.6,397.27,0,17
2024-07-18,1,383.6,394.6,0,16
2024-07-19,1,383.6,390.3,0,15
2024-07-20,1,383.6,385.55,0,16
2024-07-21,1,383.6,392.12,0,16
2024-07-22,1,383.6,395.91,0,13
2024-07-23,1,383.6,377.54,0,13
2024-07-24,1,383.6,385.69,0,17
2024-07-25,1,383.6,400.12,0,14
2024-07-26,1,383.6,392.88,0,15
2024-07-27,1,383.6,389.22,0,16
2024-07-28,1,383.6,396.85,0,15
2024-07-29,1,383.6,400.57,0,13
2024-07-30,1,383.6,393.13,0,15
2024-07-31,1,383.6,392.44,0,12
2024-08-01,1,383.6,404.82,0,15
2024-08-02,1,383.6,382.8,0,17
2024-08-03,1,383.6,389.87,0,18
2024-08-04,1,383.6,385.46,0,14
2024-08-05,1,383.6,393.52,0,12
2024-08-06,1,402.78,402.01,0,15
2024-08-07,1,402.78,390.99,0,16
2024-08-08,1,402.78,393.14,0,14
2024-08-09,1,402.78,397.38,0,12
2024-08-10,1,402.78,386.32,0,16
2024-08-11,1,402.78,382.18,0,18
2024-08-12,1,402.78,390.22,0,13
2024-08-13,1,402.78,379.69,0,14
2024-08-14,1,402.78,393.42,0,14
2024-08-15,1,402.78,378.65,0,12
2024-08-16,1,402.78,399.65,0,12
2024-08-17,1,402.78,381.88,0,14
2024-08-18,1,402.78,391.96,0,15
2024-08-19,1,402.78,389.46,0,10
2024-08-20,1,402.78,388.38,0,13
2024-08-21,1,402.78,398.34,0,11
2024-08-22,1,402.78,394.55,0,13
2024-08-23,1,402.78,379,0,13
2024-08-24,1,322.22,394.78,1,23
2024-08-25,1,322.22,388.22,1,22
2024-08-26,1,322.22,398.09,1,16
2024-08-27,1,322.22,401.55,1,20
2024-08-28,1,322.22,403.67,1,22
2024-08-29,1,322.22,397.98,1,19
2024-08-30,1,402.78,387.4,0,15
2024-08-31,1,402.78,386.11,0,18
2024-09-01,1,402.78,383.97,0,16
2024-09-02,1,402.78,330.97,0,13
2024-09-03,1,402.78,293.89,0,12
2024-09-04,1,402.78,321.6,0,12
2024-09-05,1,402.78,298.4,0,13
2024-09-06,1,402.78,316.51,0,13
